"X","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
215,"rn397625663","stuart l","Kuwait City, Kuwait","232 reviews","not worth the hassle or expense.",2,"2016-07-26","The reason for the poor rating is that there are so many people you cannot stand still for 30seconds to look at the paintings or drawrings. The corridors are very narrow so you have to either keep moving or wait for the people in front to move on. We bought our tickets on line for an alloted time but still the place was rammed with tourists. Tickets and train tickets cost 100 euro for two people. It was a horrible experience and I hope the people who run this place limit the amount of peolple who enter at any one time more so than they are doing so now. If you are planning a trip from barcelona then I would not waist your time and money doing this trip.",22,"not worth the hassle or expense.. The reason for the poor rating is that there are so many people you cannot stand still for 30seconds to look at the paintings or drawrings. The corridors are very narrow so you have to either keep moving or wait for the people in front to move on. We bought our tickets on line for an alloted time but still the place was rammed with tourists. Tickets and train tickets cost 100 euro for two people. It was a horrible experience and I hope the people who run this place limit the amount of peolple who enter at any one time more so than they are doing so now. If you are planning a trip from barcelona then I would not waist your time and money doing this trip.","negative","negative",0,8
216,"rn397604125","Carol R","Congleton, United Kingdom","20 reviews","Interesting and at times strange ",4,"2016-07-26","We visited the museum on a rainy day and can say it was worth the drive. It was fascinating. He clearly had a strange mind. Some of the displays were bizarre but he was obviously talented.",22,"Interesting and at times strange . We visited the museum on a rainy day and can say it was worth the drive. It was fascinating. He clearly had a strange mind. Some of the displays were bizarre but he was obviously talented.","positive","negative",1,2
217,"rn397249117","Dan F","Newport Beach, California","100 reviews","Mind-Bending Eye Candy for the Open-Minded",5,"2016-07-26","Dali is Dali, that said, a visit to his Theatre-Museo in Girona will push the envelope of surrealism for even the most prepared visitor. I loved this place. The visit was an experience. Take the time just to look at things from across the rooms and from multiple perspectives-this place we created to be explored like no other museum I have encountered!",22,"Mind-Bending Eye Candy for the Open-Minded. Dali is Dali, that said, a visit to his Theatre-Museo in Girona will push the envelope of surrealism for even the most prepared visitor. I loved this place. The visit was an experience. Take the time just to look at things from across the rooms and from multiple perspectives-this place we created to be explored like no other museum I have encountered!","positive","neutral",2,2
218,"rn397193460","Pinar E","Istanbul","3 reviews","Touristic and artistic trip to mind of Dali..",5,"2016-07-26","It was fascinating,strongly recommend to see his world, surprising art works,decoration..indeed everything..and don't pass Dali jewels,it was awesome..",22,"Touristic and artistic trip to mind of Dali... It was fascinating,strongly recommend to see his world, surprising art works,decoration..indeed everything..and don't pass Dali jewels,it was awesome..","positive","positive",2,1
219,"rn397173765","N0uschkaB","","2 reviews","Awesome museum!",5,"2016-07-26","Wow, this museum is so interesting! It's located in the centre of Figueres and it will blow your mind!",22,"Awesome museum!. Wow, this museum is so interesting! It's located in the centre of Figueres and it will blow your mind!","positive","positive",2,1
220,"rn396883577","Goretti_13","Brisbane, Australia","48 reviews","Superb !",5,"2016-07-25","We just spent 3 hours at the Dali museum, what an incredible talent &amp; body of work enhanced in a fantastic environment designed by the man himself. It's hard to describe or give it justice with amateur photos, but I highly recommend you visit with plenty of time to spare so you have time to pause, sit &amp; enjoy it. There is some wheel chair access, its air conditioned and it is just amazing! You don't really need a guided tour.",22,"Superb !. We just spent 3 hours at the Dali museum, what an incredible talent &amp; body of work enhanced in a fantastic environment designed by the man himself. It's hard to describe or give it justice with amateur photos, but I highly recommend you visit with plenty of time to spare so you have time to pause, sit &amp; enjoy it. There is some wheel chair access, its air conditioned and it is just amazing! You don't really need a guided tour.","positive","positive",5,1
221,"rn396559224","Laetitia B","Toulouse, France","22 reviews","Wonderful place",5,"2016-07-25","For my 3de visit there I came with my children.<br>They enjoyed this place as much as me!<br>If you pass near to figueres you must stop there! <br>The visit take around 2 hours without guide.",23,"Wonderful place. For my 3de visit there I came with my children. They enjoyed this place as much as me! If you pass near to figueres you must stop there!  The visit take around 2 hours without guide.","positive","positive",4,1
222,"rn396553632","alstonville2477","Alstonville, Australia","3 reviews","Book online in advance to avoid huge queues",5,"2016-07-25","Allow a minimum of 3 hours to see this museum. There are multiple rooms with thousands of pieces to see. Definitely book online in advance. We went to the E-Ticket window, showed my phone and walked straight in the door. The queue for tickets on the day was at least 100 metres long by 10am",23,"Book online in advance to avoid huge queues. Allow a minimum of 3 hours to see this museum. There are multiple rooms with thousands of pieces to see. Definitely book online in advance. We went to the E-Ticket window, showed my phone and walked straight in the door. The queue for tickets on the day was at least 100 metres long by 10am","positive","negative",1,3
223,"rn396299219","travellingreborn","Massachusetts","32 reviews","Not your average art museum",4,"2016-07-24","This museum was designed by Dali and it is a whole experience of his art, the setting, the way works are displayed. Some of his art has moving parts and are coin operated, so good to have some coins with you. We went late in the day and stayed at Hotel Duran for the evening.",23,"Not your average art museum. This museum was designed by Dali and it is a whole experience of his art, the setting, the way works are displayed. Some of his art has moving parts and are coin operated, so good to have some coins with you. We went late in the day and stayed at Hotel Duran for the evening.","positive","negative",1,3
224,"rn395382917","naturaliah","Belo Horizonte, MG","34 reviews","Really, you should go",5,"2016-07-22","I stayed at hotel Duran and came for the museum on the next day. The whole thing was such a nice experience... The museum is quite big, I stayed in there around 3 hours and an extra one to see the Dali jewels museum, so you can visit the whole complex in an afternoon or morning, but Figueres is such a cute town it is worth spending the night and going to dinner at the Duran restaurant. Also if you'd like something in the museum shop it seems that you can only access it from inside the museum, so better take it! I couldn't stop thinking about the little elephants...",23,"Really, you should go. I stayed at hotel Duran and came for the museum on the next day. The whole thing was such a nice experience... The museum is quite big, I stayed in there around 3 hours and an extra one to see the Dali jewels museum, so you can visit the whole complex in an afternoon or morning, but Figueres is such a cute town it is worth spending the night and going to dinner at the Duran restaurant. Also if you'd like something in the museum shop it seems that you can only access it from inside the museum, so better take it! I couldn't stop thinking about the little elephants...","positive","positive",4,2
225,"rn394995405","Himadri P","","20 reviews","Very nice collection of Dali's work",5,"2016-07-21","Very well preserved, well managed and easy to reach via public transport, this comprehensive collection of Dali's work is indeed a must visit for all art lovers. The adjascent Dali Jewels show is an additional icing on the cake!",23,"Very nice collection of Dali's work. Very well preserved, well managed and easy to reach via public transport, this comprehensive collection of Dali's work is indeed a must visit for all art lovers. The adjascent Dali Jewels show is an additional icing on the cake!","positive","positive",3,0
226,"rn394823375","MrAKellett","Woburn, United Kingdom","15 reviews","If you love Dali you MUST go here.",5,"2016-07-20","Love this place, having seen Dali's interview on video about when he found this building &amp; the things he had planned, as a 12 year old kid it planted a seed, which 1 day I knew I would bloom into seeing it for myself. A must for any Dali lover, It does get very busy so plan your day wisely.",23,"If you love Dali you MUST go here.. Love this place, having seen Dali's interview on video about when he found this building &amp; the things he had planned, as a 12 year old kid it planted a seed, which 1 day I knew I would bloom into seeing it for myself. A must for any Dali lover, It does get very busy so plan your day wisely.","positive","negative",1,2
227,"rn394608190","tomastomastomas","Bratislava, Slovakia","5 reviews","Vrazy crazy crazy ",5,"2016-07-20","Unbelievable experience. Try to go in the early hours as it gets crowded later. This guy was the man with unlimited creativity..<br></p>",23,"Vrazy crazy crazy . Unbelievable experience. Try to go in the early hours as it gets crowded later. This guy was the man with unlimited creativity..  ","positive","negative",0,1
228,"rn394601675","much2honest","much2honest","45 reviews","Dali the great!",5,"2016-07-20","Well if you don't already know, words cannot express the artistic genius that Salvador Dali is. This museum will give you more than a glimpse of his psyche and talent. So if you are in Spain EVER then definitely make it a point to see this museum!! Dali created this museum and it covers much of his early works. But be advised that there are lot of stairs and as far as I observed no elevator.",23,"Dali the great!. Well if you don't already know, words cannot express the artistic genius that Salvador Dali is. This museum will give you more than a glimpse of his psyche and talent. So if you are in Spain EVER then definitely make it a point to see this museum!! Dali created this museum and it covers much of his early works. But be advised that there are lot of stairs and as far as I observed no elevator.","positive","positive",3,2
229,"rn394528268","kelly k","Northern Virginia, Virginia","12 reviews","Amazing collections of Dali Art and Jewelry",5,"2016-07-20","This museum is very popular during summer tourist season so online booking is a must to save time. I am glad we did because ticket line was quite long when we got there. <br><br>We were told to start with the Jewel room and wow I didn't know Dali designed such an amazing and eclectic sets of jewelry pieces. This talented artistic man never cease to be amazing. <br><br>The museum itself had so much of his work in different levels of the building but we only had 2 hours so we tried to only spend time on his work, not by other artists but one can easily spend a good 3-4 hours just taking in all the twisted genius of a man's work. We were all glad we made the trip out there while visiting Barcelona.<br></p>",23,"Amazing collections of Dali Art and Jewelry. This museum is very popular during summer tourist season so online booking is a must to save time. I am glad we did because ticket line was quite long when we got there.   We were told to start with the Jewel room and wow I didn't know Dali designed such an amazing and eclectic sets of jewelry pieces. This talented artistic man never cease to be amazing.   The museum itself had so much of his work in different levels of the building but we only had 2 hours so we tried to only spend time on his work, not by other artists but one can easily spend a good 3-4 hours just taking in all the twisted genius of a man's work. We were all glad we made the trip out there while visiting Barcelona.  ","positive","positive",4,3
230,"rn394419266","Martin C","Drogheda, Ireland","6 reviews","Interesting ",4,"2016-07-19","Well worth a visit, I'm not an art person and I had to get my teenage daughter to explain a lot to me (!!!) which was worrying but really enjoyed my time there. To say the guy had issues and was complicated is probably safe enough but open your mind and have a ball!",23,"Interesting . Well worth a visit, I'm not an art person and I had to get my teenage daughter to explain a lot to me (!!!) which was worrying but really enjoyed my time there. To say the guy had issues and was complicated is probably safe enough but open your mind and have a ball!","positive","positive",3,1
231,"rn394360662","Joanne W","Miami, Florida","18 reviews","WOW!",5,"2016-07-19","So worth the drive from Barcelona... Go with a guide - Dali's work is best seen with an expert who can explain some of the complexities of his art. And give yourself enough time to really explore the museum. The breath and depth of Dali's work is impressive and so much more than melting clocks!",24,"WOW!. So worth the drive from Barcelona... Go with a guide - Dali's work is best seen with an expert who can explain some of the complexities of his art. And give yourself enough time to really explore the museum. The breath and depth of Dali's work is impressive and so much more than melting clocks!","positive","positive",5,0
232,"rn394298022","jbrwilkinson","Amersham, United Kingdom","23 reviews","Amazing Art; go early to avoid crowds ",4,"2016-07-19","The museum has an astounding collection of Salvador Dali's art - paintings, sculptures, jewellery and other creations. <br><br>Much of it is totally bonkers - fun, silly, sometimes risqué - but always amazing and intriguing. The 'serious' items are really amazing - he was an accomplished painter.<br><br>The actual museum is a bit of a rabbit warren - lots of rooms connected by corridors and stairs. It can be quite claustrophobic to be stuck on the stairs while some guided tour marches past.<br><br>Great for children of all ages, limited access for wheelchairs or people who need assistance walking.",24,"Amazing Art; go early to avoid crowds . The museum has an astounding collection of Salvador Dali's art - paintings, sculptures, jewellery and other creations.   Much of it is totally bonkers - fun, silly, sometimes risqué - but always amazing and intriguing. The 'serious' items are really amazing - he was an accomplished painter.  The actual museum is a bit of a rabbit warren - lots of rooms connected by corridors and stairs. It can be quite claustrophobic to be stuck on the stairs while some guided tour marches past.  Great for children of all ages, limited access for wheelchairs or people who need assistance walking.","positive","positive",6,2
233,"rn394100426","Bjørn H","Oslo, Norway","92 reviews","A must ",5,"2016-07-18","If you are into art this museum is a must. The art itself is magnificent, and the same is to be said about the building. The museum displays the single largest and most diverse collection of works by Salvador Dalí, the core of which was from the artist's personal collection. One of the most spectacular museums I have ever been to. I wish I could be there on a day when there were less people there, but I guess it's not possible.",24,"A must . If you are into art this museum is a must. The art itself is magnificent, and the same is to be said about the building. The museum displays the single largest and most diverse collection of works by Salvador Dalí, the core of which was from the artist's personal collection. One of the most spectacular museums I have ever been to. I wish I could be there on a day when there were less people there, but I guess it's not possible.","positive","positive",4,1
234,"rn394008763","kgh505","Albuquerque, New Mexico","13 reviews","It's Dali...what more is there to say?!",5,"2016-07-18","A lot of early work of this amazing artist, with only a few of his ""famous"" pieces.<br><br>Regardless, completely worth the trip. From Barcelona I took the train from Passieg de Gracia train station - no need to go to Sants. The trip was about 2 hours, but the high speed train (about 50 min.) is also available. The museum is then only about a 10 minute walk from the train station with signs guiding you all the way. It's my understanding the the high speed train drops you off at a different station further out of town.<br><br>I did not pre-book tickets for my Friday visit, but got there early enough to avoid any lines. The place gets a lot of visitors, so it can be difficult to really study a piece with so many people zipping by. And you know his detailed and symbolic work needs to be looked at slowly and carefully!<br><br>I didn't know that his jewelry collection was in a separate building and missed it. Also, Dali is entombed at his museum, but didn't locate any info about that. Or maybe I just missed it, too.<br><br>If you have the time, walk up the hill to Castell de Sant Ferran for an entirely different history lesson!<br><br>If you're a fan of his art or Surrealism in general, do yourself a favor and go to this museum! Oh yes, take some Euro coins too, as some of his art is activated by money (just like us all).",24,"It's Dali...what more is there to say?!. A lot of early work of this amazing artist, with only a few of his  famous  pieces.  Regardless, completely worth the trip. From Barcelona I took the train from Passieg de Gracia train station - no need to go to Sants. The trip was about 2 hours, but the high speed train (about 50 min.) is also available. The museum is then only about a 10 minute walk from the train station with signs guiding you all the way. It's my understanding the the high speed train drops you off at a different station further out of town.  I did not pre-book tickets for my Friday visit, but got there early enough to avoid any lines. The place gets a lot of visitors, so it can be difficult to really study a piece with so many people zipping by. And you know his detailed and symbolic work needs to be looked at slowly and carefully!  I didn't know that his jewelry collection was in a separate building and missed it. Also, Dali is entombed at his museum, but didn't locate any info about that. Or maybe I just missed it, too.  If you have the time, walk up the hill to Castell de Sant Ferran for an entirely different history lesson!  If you're a fan of his art or Surrealism in general, do yourself a favor and go to this museum! Oh yes, take some Euro coins too, as some of his art is activated by money (just like us all).","positive","negative",5,8
235,"rn393234114","lobos3","Albuquerque, New Mexico","125 reviews","Unusual, quirky museum",5,"2016-07-16","We traveled to Figures from Barcelona on a regional train - taking about 1.5 hours. The museum, which was designed by Dali, showcases his art. Additionally, there is an adjoining museum of jewelry created by the artist. It is an easy 1/2 day trip from Barcelona and we would recommend it to visitors. We pre-purchased our tickets which made for easy access at the opening hour.",24,"Unusual, quirky museum. We traveled to Figures from Barcelona on a regional train - taking about 1.5 hours. The museum, which was designed by Dali, showcases his art. Additionally, there is an adjoining museum of jewelry created by the artist. It is an easy 1/2 day trip from Barcelona and we would recommend it to visitors. We pre-purchased our tickets which made for easy access at the opening hour.","positive","negative",2,4
236,"rn393012462","Holly W","","41 reviews","Mind Blowing",5,"2016-07-15","This museum truly gives you the opportunity to understand how perspective was employed in Dali's works. It was just fascinating. So much to see. One could really spend some time here contemplating how deeply he delved into himself, reflecting inward and upon all of the craziness in Europe in his time period. We wish there had been an audio guide to give us more insight, being art enthusiasts, but totally amateur. The courtyard and entry hall to me, are the highlights, but there is so much more to see! It was a plus that we had not booked tickets ahead of time, but there was little to no line, and we got right in.",24,"Mind Blowing. This museum truly gives you the opportunity to understand how perspective was employed in Dali's works. It was just fascinating. So much to see. One could really spend some time here contemplating how deeply he delved into himself, reflecting inward and upon all of the craziness in Europe in his time period. We wish there had been an audio guide to give us more insight, being art enthusiasts, but totally amateur. The courtyard and entry hall to me, are the highlights, but there is so much more to see! It was a plus that we had not booked tickets ahead of time, but there was little to no line, and we got right in.","positive","negative",1,4
237,"rn392947311","AmandaMZCZ8","Stratford-upon-Avon, United Kingdom","2 reviews","Poorly managed and expensive",1,"2016-07-15","After a lovely visit to the Gala Castle at Pubol, hopes were high. Having my small handbag snatched away from me with purse, phone and everything, allegedly because it was a back back, was a bad start. Then entering the crowded museum with no direction and little interpretation made it very hard to get much out of the museum - as other reviewers have said, you can't even assume that the unlabelled works are by Dali and the layout is clumsy. I asked a friend to lend me the money for a (not cheap) guide book but it is not written as a practical visitor guide. When you add the off-hand / rude attitude of most of the staff, the overall impression was of having been ripped off and excluded from the Dali experience by lack of prior knowledge. The management of this museum have a lot to answer for.",24,"Poorly managed and expensive. After a lovely visit to the Gala Castle at Pubol, hopes were high. Having my small handbag snatched away from me with purse, phone and everything, allegedly because it was a back back, was a bad start. Then entering the crowded museum with no direction and little interpretation made it very hard to get much out of the museum - as other reviewers have said, you can't even assume that the unlabelled works are by Dali and the layout is clumsy. I asked a friend to lend me the money for a (not cheap) guide book but it is not written as a practical visitor guide. When you add the off-hand / rude attitude of most of the staff, the overall impression was of having been ripped off and excluded from the Dali experience by lack of prior knowledge. The management of this museum have a lot to answer for.","negative","negative",0,6
238,"rn392931892","LilyJam67","Lisburn, United Kingdom","12 reviews","Mad as a hatter!",5,"2016-07-15","I somehow managed to persuade my mainly non-art loving (understatement) family to visit the Dali museum in Figueres! We arrived around 10:30am on the first Sunday in July after managing to park for free on a street about a 10 min walk from the museum! We were surprised to find only about 10 people in the queue so all headed into the museum on a family ticket - €58 for 2 adults and 3 teenagers. We spent an interesting and entertaining two hours meandering through the museum! I had studied Dali for A level History of Art many years before so knew a little of his work and thoroughly enjoyed the huge breadth of styles and medium on show - the only disappointment was that I was hoping to see more of his 'famous' paintings but they must be in museums around the world - I only recognised a version of the melting clocks piece 'The Persistence of Memory'. I have seen his 'Christ of Saint John of the Cross' in Kelvingrove Museum in Glasgow. The actual museum building is wonderfully eccentric, painted a deep rosy red with 'loaves of bread' stuck to the walls and huge white eggs perched on the roof! My family's comments included 'mad as a hatter!', 'what drugs was he on?' and 'total nutcase!' but they enjoyed their visit and can now boast that they have actually spent 2 hours of their lives in an art gallery - lol",24,"Mad as a hatter!. I somehow managed to persuade my mainly non-art loving (understatement) family to visit the Dali museum in Figueres! We arrived around 10:30am on the first Sunday in July after managing to park for free on a street about a 10 min walk from the museum! We were surprised to find only about 10 people in the queue so all headed into the museum on a family ticket - €58 for 2 adults and 3 teenagers. We spent an interesting and entertaining two hours meandering through the museum! I had studied Dali for A level History of Art many years before so knew a little of his work and thoroughly enjoyed the huge breadth of styles and medium on show - the only disappointment was that I was hoping to see more of his 'famous' paintings but they must be in museums around the world - I only recognised a version of the melting clocks piece 'The Persistence of Memory'. I have seen his 'Christ of Saint John of the Cross' in Kelvingrove Museum in Glasgow. The actual museum building is wonderfully eccentric, painted a deep rosy red with 'loaves of bread' stuck to the walls and huge white eggs perched on the roof! My family's comments included 'mad as a hatter!', 'what drugs was he on?' and 'total nutcase!' but they enjoyed their visit and can now boast that they have actually spent 2 hours of their lives in an art gallery - lol","positive","negative",3,6
239,"rn392556245","Kathyh509","Cape Town Central, South Africa","24 reviews","Fascinating ",4,"2016-07-14","We found the artwork fascinating and the museum well worth a visit. The only drawback being that there were no audio guides. <br>We tried to book online, but the website only had 9am and 5pm slots available which didn't suit us. We took a chance and arrived at the museum at around 10:30am. A short queue had formed by then, but we were in 20min later. By the time we left, the queue was much, much longer and snaking all the way down the road!!!! There are a number of parking garages behind the museum.",24,"Fascinating . We found the artwork fascinating and the museum well worth a visit. The only drawback being that there were no audio guides.  We tried to book online, but the website only had 9am and 5pm slots available which didn't suit us. We took a chance and arrived at the museum at around 10:30am. A short queue had formed by then, but we were in 20min later. By the time we left, the queue was much, much longer and snaking all the way down the road!!!! There are a number of parking garages behind the museum.","positive","negative",2,5
240,"rn392286983","misha m","Miami, Florida","89 reviews","A must see! The genius in his own museum",5,"2016-07-13","We are an art loving family, and our son who is 20 already visited the museum, but even his description didn't give it due credit. It is an amazing assemblage of the genius' work, done by him when he was still alive. The theatrical aspect of the museum is not lost on the artist, who was buried in it. I strongly recommend spending the money on a guided tour, as the paintings have so much hidden symbolism that it would take an extensive amount of time to decipher both the meaning and hidden messages in them. As a bonus, you get to skip the lines, and visit the jewelry museum of exquisite creations by the artist",24,"A must see! The genius in his own museum. We are an art loving family, and our son who is 20 already visited the museum, but even his description didn't give it due credit. It is an amazing assemblage of the genius' work, done by him when he was still alive. The theatrical aspect of the museum is not lost on the artist, who was buried in it. I strongly recommend spending the money on a guided tour, as the paintings have so much hidden symbolism that it would take an extensive amount of time to decipher both the meaning and hidden messages in them. As a bonus, you get to skip the lines, and visit the jewelry museum of exquisite creations by the artist","positive","positive",5,2
241,"rn392093709","Nataša A","","87 reviews","We expected more",2,"2016-07-13","If you have never seen Dali's work this can be interesting. It was not our case. Reaction was like ""OK... and?"" Somehow we thought there is more of feeling, more of art or more madness since it is dedicated solo to Dali. So.. poor experience for me.",25,"We expected more. If you have never seen Dali's work this can be interesting. It was not our case. Reaction was like  OK... and?  Somehow we thought there is more of feeling, more of art or more madness since it is dedicated solo to Dali. So.. poor experience for me.","negative","negative",2,3
242,"rn391725895","Jude W","Canberra, Australia","21 reviews","Do not miss it.",5,"2016-07-12","I was absolutely mesmerised by the quirky building and art. I spent many hours and took over 500 photos! We were the first time slot which allowed me to view a few corridors of art by myself. We had heard that student groups were loud and annoying, we did not find this, in fact they were very solicitous. I also enjoyed Dalis scrumptious and luxurious jewellery designs and pieces which are in a separate part of the museum. You exit from the museum proper and walk around the corner.",25,"Do not miss it.. I was absolutely mesmerised by the quirky building and art. I spent many hours and took over 500 photos! We were the first time slot which allowed me to view a few corridors of art by myself. We had heard that student groups were loud and annoying, we did not find this, in fact they were very solicitous. I also enjoyed Dalis scrumptious and luxurious jewellery designs and pieces which are in a separate part of the museum. You exit from the museum proper and walk around the corner.","positive","negative",2,5
243,"rn391520296","Dovid1","Leicester, United Kingdom","29 reviews","Stunning experience for all Dali lovers",5,"2016-07-11","This museum is an amazing experience for anyone who likes Dali's work and probably for those who don't or don't know if they do!<br>A pilgrimage to Figueres to visit the museum is well worth the journey. <br>Take at least 2 hours to visit both the main museum and the jewelry exhibition next door <br>Also if staying in the area a visit to Cadaques to Dali's house will round of your trip and make an experience you will long remember",25,"Stunning experience for all Dali lovers. This museum is an amazing experience for anyone who likes Dali's work and probably for those who don't or don't know if they do! A pilgrimage to Figueres to visit the museum is well worth the journey.  Take at least 2 hours to visit both the main museum and the jewelry exhibition next door  Also if staying in the area a visit to Cadaques to Dali's house will round of your trip and make an experience you will long remember","positive","positive",5,1
244,"rn391471377","Martin J","Levice, Slovakia","228 reviews","One of the best museum in whole spain",5,"2016-07-11","First you need find a right entrance a prepare few coins (some 1 euro coins) for activation attraction inside which is not included in ticket price.",25,"One of the best museum in whole spain. First you need find a right entrance a prepare few coins (some 1 euro coins) for activation attraction inside which is not included in ticket price.","positive","neutral",1,1
245,"rn391376600","H-A-R_Finland","Oulu, Finland","3 reviews","Just great",5,"2016-07-11","Town is great and museum is marvelous. Go and see if you are anywhere near of Girona. Dali was an extraordinary genius and the one of a kind.",25,"Just great. Town is great and museum is marvelous. Go and see if you are anywhere near of Girona. Dali was an extraordinary genius and the one of a kind.","positive","positive",5,0
246,"rn391295058","Prerna_Palekar","Siegen, Germany","23 reviews","Best place to see Dali's work",5,"2016-07-11","i had heard so much about Salvador Dali from my father who loves art. This museum is truly reflection of his personality and showcases his best works in the best way. I was disappointed to see other artists work in this museum though. Also coming from Barcelona and seeing the Gaudi's house museums I feel there is more scope for the museum to improve. There can be electronic audio tour guides in various languages for example. Anyway, I am glad I found books on him in the museum shop.",25,"Best place to see Dali's work. i had heard so much about Salvador Dali from my father who loves art. This museum is truly reflection of his personality and showcases his best works in the best way. I was disappointed to see other artists work in this museum though. Also coming from Barcelona and seeing the Gaudi's house museums I feel there is more scope for the museum to improve. There can be electronic audio tour guides in various languages for example. Anyway, I am glad I found books on him in the museum shop.","positive","negative",2,4
247,"rn391194290","Aldora-Travelers","New York City, New York","155 reviews","SPAIN-2016",5,"2016-07-10","This Musuem was awesome in that it had a TON of DALI paintings, Art and other Treasures. You can read all about that in the Travel Books, My reason to Travel here was to see it ALL&gt;&gt;and it was worth it!! I do really enjoy Salvadore Dali and out of his world creativity. One Bonus that I was Not aware was that the Regular admission includes Tickets to his DALI JEWELS musuem. Amazing Jewelry that created from his Drawings. SUPER amazing. Bring a Good Camera for you will see some Amazing JEWELRY",25,"SPAIN-2016. This Musuem was awesome in that it had a TON of DALI paintings, Art and other Treasures. You can read all about that in the Travel Books, My reason to Travel here was to see it ALL&gt;&gt;and it was worth it!! I do really enjoy Salvadore Dali and out of his world creativity. One Bonus that I was Not aware was that the Regular admission includes Tickets to his DALI JEWELS musuem. Amazing Jewelry that created from his Drawings. SUPER amazing. Bring a Good Camera for you will see some Amazing JEWELRY","positive","positive",4,3
248,"rn390956858","coach4u","Greater Sydney, Australia","110 reviews","The kids loved it. ",4,"2016-07-10","I found many of the items on display to be challenging, not my style of art but this is where Dali lived and worked.<br><br>The pieces are diverse, everything from sculptures, paintings, sketches, and even the courtyard garden Dali is claimed to have built. <br>I can see many different influences in his work, obviously he developed his work through different periods and this is evident.",25,"The kids loved it. . I found many of the items on display to be challenging, not my style of art but this is where Dali lived and worked.  The pieces are diverse, everything from sculptures, paintings, sketches, and even the courtyard garden Dali is claimed to have built.  I can see many different influences in his work, obviously he developed his work through different periods and this is evident.","positive","neutral",2,2
249,"rn390864611","lovevacations64","Baltimore, Maryland","26 reviews","The museum as unique as his work!",5,"2016-07-09","DALI didn't disappoint. The building itself and the layout of the exhibitsame were pure Dali. The different mediums he used and works were overwhelming that will leave you in awe of the man.",25,"The museum as unique as his work!. DALI didn't disappoint. The building itself and the layout of the exhibitsame were pure Dali. The different mediums he used and works were overwhelming that will leave you in awe of the man.","positive","negative",1,3
250,"rn390757310","Lee H","","6 reviews","Falling down the rabbit hole",5,"2016-07-09","So glad we went to visit this museum. Was mind blowing and very powerful. There was so much to see and the price was very reasonable (€14 each). Would highly recommend anyone in the vicinity to visit. So many amazing pieces of art. You can easily lose a fair few hours exploring the art of this surrealist. It's a trip without even being on anything.",25,"Falling down the rabbit hole. So glad we went to visit this museum. Was mind blowing and very powerful. There was so much to see and the price was very reasonable (€14 each). Would highly recommend anyone in the vicinity to visit. So many amazing pieces of art. You can easily lose a fair few hours exploring the art of this surrealist. It's a trip without even being on anything.","positive","positive",5,2
251,"rn390722153","Lee T","Sydney","483 reviews","More amazing and enjoyable than I had ever imagined",5,"2016-07-09","Hard to keep the smile off one's face as you see all the wonderful exhibits. Dali must have so enjoyed creating his theatre/museum. Apart from all the installations there are many wonderful paintings from the many different periods in Dali's life and works. The building itself seems a great joke and complements all the works inside. We spent over two hours there and could have stayed longer except it was becoming very crowded on a Saturday morning. Buy your tickets online and go early is my suggestion so you can really enjoy in detail these wonderful works",26,"More amazing and enjoyable than I had ever imagined. Hard to keep the smile off one's face as you see all the wonderful exhibits. Dali must have so enjoyed creating his theatre/museum. Apart from all the installations there are many wonderful paintings from the many different periods in Dali's life and works. The building itself seems a great joke and complements all the works inside. We spent over two hours there and could have stayed longer except it was becoming very crowded on a Saturday morning. Buy your tickets online and go early is my suggestion so you can really enjoy in detail these wonderful works","positive","positive",7,1
252,"rn389906450","Andy S","Mahwah, New Jersey","39 reviews","Explores Dali´s work beyond the familiar works",5,"2016-07-06","Make sure you read the brochure before you start your tour. Certain rooms exhibit Dali´s work - but there are also rooms showing other artists! We liked the fact that it was not limited to the familiar works, but had various installations, sculptures - even jewelry. I could have benefitted from better interpretation/explanations of the different parts of the exhibit. Much of the museum is completely without commentary. You walk way having learned little about his life, or various periods - but you will have experienced his genius expressed in many different forms.",26,"Explores Dali´s work beyond the familiar works. Make sure you read the brochure before you start your tour. Certain rooms exhibit Dali´s work - but there are also rooms showing other artists! We liked the fact that it was not limited to the familiar works, but had various installations, sculptures - even jewelry. I could have benefitted from better interpretation/explanations of the different parts of the exhibit. Much of the museum is completely without commentary. You walk way having learned little about his life, or various periods - but you will have experienced his genius expressed in many different forms.","positive","negative",2,3
