"","x"
"1874","positive"
"1875","positive"
"1876","positive"
"1877","positive"
"1878","negative"
"1879","positive"
"1880","positive"
"1881","positive"
"1882","positive"
"1883","positive"
"1884","positive"
"1885","positive"
"1886","positive"
"1887","positive"
"1888","positive"
"1889","positive"
"1890","positive"
"1891","positive"
"1892","positive"
"1893","positive"
"1894","positive"
"1895","positive"
"1896","positive"
"1897","positive"
"1898","positive"
"1899","positive"
"1900","positive"
"1901","positive"
"1902","positive"
"1903","positive"
"1904","positive"
"1905","positive"
"1906","positive"
"1907","positive"
"1908","positive"
"1909","positive"
"1910","positive"
"1911","positive"
"1912","positive"
"1913","positive"
"1914","positive"
"1915","positive"
"1916","positive"
"1917","positive"
"1918","positive"
"1919","positive"
"1920","positive"
"1921","positive"
"1922","positive"
"1923","positive"
"1924","positive"
"1925","positive"
"1926","positive"
"1927","positive"
"1928","positive"
"1929","positive"
"1930","positive"
"1931","positive"
"1932","positive"
"1933","positive"
"1934","positive"
"1935","positive"
"1936","positive"
"1937","positive"
"1938","positive"
"1939","positive"
"1940","positive"
"1941","positive"
"1942","positive"
"1943","positive"
"1944","positive"
"1945","positive"
"1946","positive"
"1947","positive"
"1948","positive"
"1949","positive"
"1950","positive"
"1951","positive"
"1952","positive"
"1953","positive"
"1954","positive"
"1955","positive"
"1956","positive"
"1957","positive"
"1958","positive"
"1959","positive"
"1960","positive"
"1961","positive"
"1962","positive"
"1963","positive"
"1964","positive"
"1965","positive"
"1966","positive"
"1967","positive"
"1968","positive"
"1969","positive"
"1970","positive"
"1971","positive"
"1972","positive"
"1973","positive"
"1974","positive"
"1975","positive"
"1976","positive"
"1977","positive"
"1978","positive"
"1979","positive"
"1980","positive"
"1981","positive"
"1982","positive"
"1983","positive"
"1984","positive"
"1985","positive"
"1986","positive"
"1987","positive"
"1988","positive"
"1989","positive"
"1990","positive"
"1991","positive"
"1992","positive"
"1993","positive"
"1994","positive"
"1995","positive"
"1996","positive"
"1997","positive"
"1998","positive"
"1999","positive"
"2000","positive"
"2001","positive"
"2002","positive"
"2003","positive"
"2004","positive"
"2005","positive"
"2006","positive"
"2007","positive"
"2008","positive"
"2009","positive"
"2010","positive"
"2011","positive"
"2012","positive"
"2013","positive"
"2014","positive"
"2015","positive"
"2016","positive"
"2017","positive"
"2018","positive"
"2019","positive"
"2020","positive"
"2021","positive"
"2022","positive"
"2023","positive"
"2024","positive"
"2025","positive"
"2026","positive"
"2027","positive"
"2028","positive"
"2029","positive"
"2030","positive"
"2031","positive"
"2032","positive"
"2033","positive"
"2034","positive"
"2035","positive"
"2036","positive"
"2037","positive"
"2038","positive"
"2039","positive"
"2040","positive"
"2041","positive"
"2042","positive"
"2043","positive"
"2044","positive"
"2045","positive"
"2046","positive"
"2047","positive"
"2048","positive"
"2049","positive"
"2050","positive"
"2051","positive"
"2052","positive"
"2053","positive"
"2054","positive"
"2055","positive"
"2056","positive"
"2057","positive"
"2058","positive"
"2059","positive"
"2060","positive"
"2061","positive"
"2062","positive"
"2063","positive"
"2064","positive"
"2065","positive"
"2066","positive"
"2067","positive"
"2068","positive"
"2069","positive"
"2070","positive"
"2071","positive"
"2072","positive"
"2073","positive"
"2074","positive"
"2075","positive"
"2076","positive"
"2077","positive"
"2078","positive"
"2079","positive"
"2080","positive"
"2081","positive"
"2082","positive"
"2083","positive"
"2084","positive"
"2085","positive"
"2086","positive"
"2087","positive"
"2088","positive"
"2089","positive"
"2090","positive"
"2091","positive"
"2092","positive"
"2093","positive"
"2094","positive"
"2095","positive"
"2096","positive"
"2097","positive"
"2098","positive"
"2099","positive"
"2100","positive"
"2101","positive"
"2102","positive"
"2103","positive"
"2104","positive"
"2105","positive"
"2106","positive"
"2107","positive"
"2108","positive"
"2109","positive"
"2110","positive"
"2111","positive"
"2112","positive"
"2113","positive"
"2114","positive"
"2115","positive"
"2116","positive"
"2117","positive"
"2118","positive"
"2119","positive"
"2120","positive"
"2121","positive"
"2122","positive"
"2123","positive"
"2124","positive"
"2125","positive"
"2126","positive"
"2127","positive"
"2128","positive"
"2129","positive"
"2130","positive"
"2131","positive"
"2132","positive"
"2133","positive"
"2134","positive"
"2135","positive"
"2136","positive"
"2137","positive"
"2138","positive"
"2139","positive"
"2140","positive"
"2141","positive"
"2142","positive"
"2143","positive"
"2144","positive"
"2145","positive"
"2146","positive"
"2147","positive"
"2148","positive"
"2149","positive"
"2150","positive"
"2151","positive"
"2152","positive"
"2153","positive"
"2154","positive"
"2155","positive"
"2156","positive"
"2157","positive"
"2158","positive"
"2159","positive"
"2160","positive"
"2161","positive"
"2162","positive"
"2163","positive"
"2164","positive"
"2165","positive"
"2166","negative"
"2167","positive"
"2168","positive"
"2169","positive"
"2170","positive"
"2171","positive"
"2172","positive"
"2173","positive"
"2174","positive"
"2175","positive"
"2176","positive"
"2177","positive"
"2178","positive"
"2179","positive"
"2180","positive"
"2181","positive"
"2182","positive"
"2183","positive"
"2184","positive"
"2185","positive"
"2186","positive"
"2187","positive"
"2188","positive"
"2189","positive"
"2190","positive"
"2191","positive"
"2192","positive"
"2193","positive"
"2194","positive"
"2195","positive"
"2196","positive"
"2197","positive"
"2198","positive"
"2199","positive"
"2200","positive"
"2201","positive"
"2202","negative"
"2203","positive"
"2204","positive"
"2205","positive"
"2206","positive"
"2207","positive"
"2208","positive"
"2209","positive"
"2210","positive"
"2211","positive"
"2212","positive"
"2213","positive"
"2214","positive"
"2215","positive"
"2216","positive"
"2217","positive"
"2218","positive"
"2219","positive"
"2220","positive"
"2221","positive"
"2222","positive"
"2223","positive"
"2224","positive"
"2225","positive"
"2226","positive"
"2227","positive"
"2228","positive"
"2229","positive"
"2230","positive"
"2231","positive"
"2232","positive"
"2233","positive"
"2234","positive"
"2235","positive"
"2236","positive"
"2237","positive"
"2238","positive"
"2239","positive"
"2240","positive"
"2241","positive"
"2242","positive"
"2243","positive"
"2244","positive"
"2245","positive"
"2246","positive"
"2247","positive"
"2248","positive"
"2249","positive"
"2250","positive"
"2251","positive"
"2252","positive"
"2253","positive"
"2254","positive"
"2255","positive"
"2256","positive"
"2257","positive"
"2258","negative"
"2259","positive"
"2260","positive"
"2261","positive"
"2262","positive"
"2263","positive"
"2264","positive"
"2265","positive"
"2266","positive"
"2267","positive"
"2268","positive"
"2269","positive"
"2270","positive"
"2271","positive"
"2272","positive"
"2273","positive"
"2274","positive"
"2275","positive"
"2276","positive"
"2277","positive"
"2278","positive"
"2279","positive"
"2280","positive"
"2281","positive"
"2282","positive"
"2283","positive"
"2284","positive"
"2285","positive"
"2286","positive"
"2287","positive"
"2288","positive"
"2289","positive"
"2290","positive"
"2291","positive"
"2292","positive"
"2293","positive"
"2294","positive"
"2295","positive"
"2296","positive"
"2297","positive"
"2298","positive"
"2299","positive"
"2300","positive"
"2301","positive"
"2302","positive"
"2303","positive"
"2304","positive"
"2305","positive"
"2306","positive"
"2307","positive"
"2308","positive"
"2309","positive"
"2310","positive"
"2311","positive"
"2312","positive"
"2313","positive"
"2314","positive"
"2315","positive"
"2316","positive"
"2317","positive"
"2318","positive"
"2319","positive"
"2320","positive"
"2321","positive"
"2322","positive"
"2323","positive"
"2324","positive"
"2325","positive"
"2326","negative"
"2327","positive"
"2328","positive"
"2329","positive"
"2330","positive"
"2331","positive"
"2332","positive"
"2333","positive"
"2334","positive"
"2335","positive"
"2336","positive"
"2337","positive"
"2338","positive"
"2339","positive"
"2340","positive"
"2341","positive"
"2342","positive"
"2343","positive"
"2344","positive"
"2345","positive"
"2346","positive"
"2347","positive"
"2348","positive"
"2349","positive"
"2350","positive"
"2351","positive"
"2352","positive"
"2353","positive"
"2354","positive"
"2355","positive"
"2356","positive"
"2357","positive"
"2358","positive"
"2359","positive"
"2360","positive"
"2361","positive"
"2362","positive"
"2363","positive"
"2364","positive"
"2365","positive"
"2366","positive"
"2367","positive"
"2368","positive"
"2369","positive"
"2370","positive"
"2371","positive"
"2372","positive"
"2373","positive"
"2374","positive"
"2375","positive"
"2376","positive"
"2377","positive"
"2378","positive"
"2379","positive"
"2380","positive"
"2381","positive"
"2382","positive"
"2383","positive"
"2384","positive"
"2385","positive"
"2386","positive"
"2387","positive"
"2388","positive"
"2389","positive"
"2390","positive"
"2391","positive"
"2392","positive"
"2393","positive"
"2394","positive"
"2395","positive"
"2396","positive"
"2397","positive"
"2398","positive"
"2399","positive"
"2400","positive"
"2401","positive"
"2402","positive"
"2403","positive"
"2404","positive"
"2405","positive"
"2406","positive"
"2407","positive"
"2408","positive"
"2409","positive"
"2410","positive"
"2411","positive"
"2412","positive"
"2413","positive"
"2414","positive"
"2415","positive"
"2416","positive"
"2417","positive"
"2418","positive"
"2419","positive"
"2420","positive"
"2421","positive"
"2422","positive"
"2423","positive"
"2424","positive"
"2425","positive"
"2426","positive"
"2427","positive"
"2428","positive"
"2429","positive"
"2430","positive"
"2431","positive"
"2432","positive"
"2433","positive"
"2434","positive"
"2435","positive"
"2436","positive"
"2437","positive"
"2438","positive"
"2439","positive"
"2440","positive"
"2441","positive"
"2442","positive"
